questionnaire,item,item_index,r_pc1,var,n_models
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I can still get things done",19,-0.3654,0.634,49
BFI-2,"Is persistent, works until the task is finished.",52,-0.3695,0.314,49
EPQ-R,Do you suffer from sleeplessness?,59,-0.3695,0.08,47
HEXACO,I wouldn't pretend to like someone just to get that person to do favors for me.,77,-0.3702,0.444,50
Schwartz_Values,I think it is important to follow the rules,4,-0.3707,0.397,49
Psychological Well-Being Scales,I gave up trying to make big improvements or changes in my life a long time ago.,38,-0.3709,3.029,47
NEED FOR COGNITION SCALE,The idea of relying on thought to make my way to the top appeals to me.,9,-0.3715,0.645,49
EPQ-R,Are you an irritable person?,16,-0.3741,0.125,49
Self-Monitoring Scale-Revised,Once I know what the situation calls for‚ it’s easy for me to regulate my actions accordingly.,12,-0.3752,0.152,47
Psychological Well-Being Scales,Most people see me as loving and affectionate.,3,-0.3759,1.633,47
EPQ-R,Is (or was) your mother a good woman?,67,-0.3796,0.211,48
EPQ-R,Would you call yourself a nervous person?,34,-0.3843,0.153,49
EPQ-R,Do you think marriage is old-fashioned and should be done away with?,47,-0.3844,0.094,49
HEXACO,"I always try to be accurate in my work, even at the expense of time.",61,-0.3866,0.363,50
EPQ-R,Do you have many friends?,35,-0.3873,0.244,48
EPQ-R,Were you ever greedy by helping yourself to more than your share of anything?,9,-0.3887,0.235,50
Need for Closure Scale (NFCS),"Even after I've made up my mind about something, I am always eager to consider a different opinion.",1,-0.3889,0.343,50
Personal Need for Structure (PNS) Scale,I am not bothered by things that upset my daily routine,1,-0.389,1.345,47
Adult Temperament Questionnaire,I would not enjoy the sensation of listening to loud music with a laser light show.,6,-0.3919,2.955,49
Rosenberg Self-Esteem Scale,"All in all, I am inclined to feel that I am a failure",8,-0.392,0.305,46
EPQ-R,Do you think people spend too much time safeguarding their future with savings and insurance?,74,-0.3935,0.24,50
EPQ-R,Are you rather lively?,10,-0.3968,0.175,50
EPQ-R,Have you ever been late for an appointment or work?,88,-0.4004,0.229,47
Moral Foundations Questionnaire (MFQ-30),Whether or not someone acted unfairly,7,-0.4007,0.378,49
Self-Monitoring Scale,I may deceive people by being friendly when I really dislike them.,24,-0.4008,0.247,49
EPQ-R,Can you easily get some life into a rather dull party?,50,-0.401,0.239,48
Psychological Well-Being Scales,I have difficulty arranging my life in a way that is satisfying to me.,31,-0.4035,1.372,49
Interpersonal Reactivity Index (IRI),"I am usually objective when I watch a movie or play, and I don't often get completely caught up in it.",6,-0.4061,1.321,50
EPQ-R,Have people said that you sometimes act too rashly?,60,-0.4062,0.253,50
Moral Foundations Questionnaire (MFQ-30),Whether or not someone suffered emotionally,0,-0.4067,0.667,49
BFI-2,"Is systematic, likes to keep things in order.",17,-0.4069,0.219,49
Self-Monitoring Scale,I feel a bit awkward in company and do not show up quite as well as I should.,22,-0.4071,0.246,47
EPQ-R,Do you often feel lonely?,83,-0.4078,0.189,49
EPQ-R,Have you ever taken the praise for something you knew someone else had really done?,3,-0.4106,0.175,50
Ambivalent Sexism Inventory,"In a disaster, women ought not necessarily to be rescued before men.",2,-0.4113,2.622,50
Psychological Well-Being Scales,I have been able to build a home and a lifestyle for myself that is much to my liking.,37,-0.4117,2.112,49
EPQ-R,Do you have enemies who want to harm you?,33,-0.413,0.11,49
EPQ-R,Would you like other people to be afraid of you?,90,-0.4141,0.094,49
IRQ,"In school, I had no problems with geometry",30,-0.4145,0.589,48
BFI-2,Is helpful and unselfish with others.,31,-0.4174,0.268,50
BIS_BAS Scales,When I see an opportunity for something I like I get excited right away.,13,-0.4208,1.073,50
Five Facet Mindfullness Questionnaire (FFMQ),"I can easily put my beliefs, opinions, and expectations into words.",6,-0.4216,0.219,50
The Internal Representation Questionnaire,I rarely vocalize thoughts in my mind,18,-0.4221,1.121,48
HEXACO,"I rarely hold a grudge, even against people who have badly wronged me.",2,-0.4226,0.401,49
BFI-2,Is curious about many different things.,9,-0.4237,0.367,50
BFI-2,Rarely feels anxious or afraid.,48,-0.4249,0.942,50
EPQ-R,"When your temper rises, do you find it difficult to control?",99,-0.4251,0.199,49
EPQ-R,Do you sometimes boast a little?,48,-0.4256,0.248,48
EPQ-R,Have you ever blamed someone for doing something you knew was really your fault?,18,-0.4263,0.255,49
Psychological Well-Being Scales,I am not interested in activities that will expand my horizons.,2,-0.4271,1.249,50
Individualism-collectivism IND-COL,If a relative were in financial difficulty‚ I would help within my means,19,-0.4286,1.181,49
HEXACO,I don’t allow my impulses to govern my behavior.,67,-0.4298,0.3,50
Varieties of Inner Speech Questionnaire,"If I were to write down my thoughts on paper, they would read like a normal grammatical sentence.",14,-0.4306,0.916,46
BIS_BAS Scales,A person's family is the most important thing in life.,0,-0.4325,0.651,50
NEED FOR COGNITION SCALE,The notion of thinking abstractly is appealing to me.,13,-0.4339,0.404,49
Social Dominance Orientation Scale 7,It would be good if groups could be equal.,8,-0.4344,1.0,49
EPQ-R,Do you usually take the initiative in making new friends?,44,-0.4365,0.255,49
Need for Closure Scale (NFCS),"When thinking about a problem, I consider as many different opinions on the issue as possible.",27,-0.4368,0.456,50
Self-Monitoring Scale,I have trouble changing my behavior to suit different people and different situations.,20,-0.4393,0.254,49
Balanced Inventory of Desirable Responding Version 6,I have never damaged a library book or store merchandise without reporting it.,37,-0.4416,5.75,49
EPQ-R,Have you ever wished that you were dead?,75,-0.4435,0.142,42
HEXACO,Most people tend to get angry more quickly than I do.,68,-0.4461,0.625,49
Social Dominance Orientation Scale 7,All groups should be given an equal chance in life.,10,-0.4487,0.55,49
EPQ-R,Do you always wash before a meal?,61,-0.4516,0.251,48
EPQ-R,Do you prefer to go your own way rather than act by the rules?,28,-0.4543,0.254,49
BFI-2,"Is respectful, treats others with respect.",6,-0.4544,0.255,50
Balanced Inventory of Desirable Responding Version 6,I never take things that don’t belong to me.,35,-0.4546,3.121,48
Interpersonal Reactivity Index (IRI),I try to look at everybody's side of a disagreement before I make a decision.,7,-0.455,0.417,49
EPQ-R,Do you dislike people who don't know how to behave themselves?,13,-0.4585,0.242,49
Individualism-collectivism IND-COL,Some people emphasize winning; I am not one of them,30,-0.4609,4.835,48
Schwartz_Values,I usually do what others tell me,10,-0.4615,0.931,49
Adult Temperament Questionnaire,I am rarely aware of textures of things I hold.,70,-0.4631,3.393,48
BIS_BAS Scales,I go out of my way to get things I want.,2,-0.4632,0.97,47
HEXACO,I remain unemotional even in situations where most people get very sentimental.,94,-0.4645,1.398,50
Interpersonal Reactivity Index (IRI),"When I see someone get hurt, I tend to remain calm. ",12,-0.4676,1.123,49
EPQ-R,Can you get a party going?,77,-0.4687,0.242,49
EPQ-R,Have you often gone against your parents' wishes?,41,-0.4702,0.178,49
BFI-2,"Is efficient, gets things done.",37,-0.4734,0.328,50
EPQ-R,Are you mostly quiet when you are with other people?,46,-0.474,0.234,48
EPQ-R,Do you often feel life is very dull?,69,-0.478,0.189,49
EPQ-R,Do you often make decisions on the spur of the moment?,68,-0.479,0.231,49
Psychological Well-Being Scales,"In general, I feel I am in charge of the situation in which I live.",1,-0.479,2.486,49
Psychological Well-Being Scales,I live life one day at a time and don't really think about the future.,4,-0.4794,2.088,49
EPQ-R,Are you often troubled about feelings of guilt?,30,-0.4812,0.156,48
Rosenberg Self-Esteem Scale,I certainly feel useless at times,5,-0.4813,1.07,47
Self-Monitoring Scale-Revised,When I feel that the image I am portraying isn’t working I can readily change it to something that does.,6,-0.4814,0.492,49
CERQ (Cognitive Emotion Regulation Questionnaire),I think about a plan of what I can do best.,19,-0.4816,0.425,50
Individualism-collectivism IND-COL,It is important for me to maintain harmony within my group,15,-0.483,1.403,49
State Trait Anxiety Inventory,I am a steady person,39,-0.4839,0.443,46
EPQ-R,Can you usually let yourself go and enjoy yourself at a lively party?,15,-0.485,0.242,49
Interpersonal Reactivity Index (IRI),I believe that there are two sides to every question and try to look at them both.,20,-0.4867,0.445,49
BIS_BAS Scales,It would excite me to win a contest.,22,-0.4879,0.981,47
EPQ-R,Do you suffer from 'nerves'?,82,-0.4889,0.206,50
Ambivalent Sexism Inventory,Men are complete without women.,12,-0.4923,3.433,49
Adult Temperament Questionnaire,I can keep performing a task even when I would rather not do it.,14,-0.4949,0.84,47
HEXACO,"I rarely feel anger, even when people treat me quite badly.",44,-0.4954,1.347,48
EPQ-R,Do you enjoy meeting new people?,19,-0.4984,0.125,49
Interpersonal Reactivity Index (IRI),Becoming extremely involved in a good book or movie is somewhat rare for me. ,11,-0.4997,1.984,48
Adult Temperament Questionnaire,I can easily resist talking out of turn.,42,-0.5008,1.641,47
EPQ-R,Are you more easy-going about right and wrong than most people?,49,-0.5023,0.229,50
Adult Temperament Questionnaire,I rarely notice the color of people’s eyes.,32,-0.5036,1.851,48
HEXACO,I rarely discuss my problems with other people.,88,-0.5042,1.006,50
EPQ-R,Are your feelings easily hurt?,21,-0.5042,0.229,50
HEXACO,I wouldn’t want people to treat me as though I were superior to them.,47,-0.5075,0.956,50
EPQ-R,Are you touchy about some things?,96,-0.5081,0.255,49
HEXACO,Having a lot of money is not especially important to me.,17,-0.5117,0.622,50
Interpersonal Reactivity Index (IRI),"Before criticizing somebody, I try to imagine how I would feel if I were in their place.",27,-0.5118,0.326,48
BIS_BAS Scales,"When I go after something I use a ""no holds barred"" approach.",20,-0.5166,0.921,49
Balanced Inventory of Desirable Responding Version 6,I never read sexy books or magazines.,33,-0.5167,5.723,47
Individualism-collectivism IND-COL,I think cooperation in workplace is more important than competition,32,-0.5225,1.065,50
EPQ-R,Do you worry a lot about your looks?,73,-0.5276,0.202,48
BIS_BAS Scales,I worry about making mistakes.,23,-0.5282,0.977,48
HEXACO,"I wouldn't use flattery to get a raise or promotion at work, even if I thought it would succeed.",29,-0.5294,1.27,48
EPQ-R,Do you often worry about things you should not have done or said?,12,-0.5308,0.239,48
EPQ-R,Does your mood often go up and down?,2,-0.5333,0.254,49
Psychological Well-Being Scales,I often feel overwhelmed by my responsibilities,25,-0.5352,2.377,50
CERQ (Cognitive Emotion Regulation Questionnaire),think I can learn something from the situation.,20,-0.5368,0.408,50
Balanced Inventory of Desirable Responding Version 6,It’s all right with me if some people happen to dislike me.,18,-0.5387,1.559,48
Balanced Inventory of Desirable Responding Version 6,I never swear.,23,-0.5396,5.177,49
State Trait Anxiety Inventory,I make decisions easily,34,-0.5406,0.722,42
EPQ-R,Do you sometimes put off until tomorrow what you ought to do today?,92,-0.5433,0.227,48
EPQ-R,Do you ever feel 'just miserable' for no reason?,7,-0.5469,0.24,50
EPQ-R,As a child were you ever cheeky to your parents?,56,-0.5499,0.241,47
EPQ-R,Do you often take on more activities than you have time for?,71,-0.5515,0.255,49
Social Dominance Orientation Scale 7,No one group should dominate in society,15,-0.5547,1.139,49
EPQ-R,Are you easily hurt when people find fault with you or the work you do?,86,-0.555,0.236,47
Rosenberg Self-Esteem Scale,I wish I could have more respect for mysel,7,-0.562,0.719,46
Five Facet Mindfullness Questionnaire (FFMQ),My natural tendency is to put my experiences into words.,31,-0.5717,0.563,48
Rosenberg Self-Esteem Scale,"At times, I think I am no good at all",1,-0.5745,0.598,49
Balanced Inventory of Desirable Responding Version 6,I don’t gossip about other people’s business.,39,-0.5746,3.347,50
Basic Psychological Needs Scale,There are not many people that I am close to.,15,-0.5809,2.61,49
EPQ-R,Would being in debt worry you?,6,-0.5843,0.217,49
BIS_BAS Scales,"When I get something I want, I feel excited and energized.",6,-0.5878,0.897,49
EPQ-R,Do you worry about awful things that might happen?,42,-0.5888,0.255,50
HEXACO,Even in an emergency I wouldn't feel like panicking.,76,-0.5908,0.981,50
Balanced Inventory of Desirable Responding Version 6,I never cover up my mistakes.,21,-0.5928,3.935,50
Psychological Well-Being Scales,The demands of everyday life often get me down.,7,-0.5933,2.011,49
EPQ-R,Do you worry about your health?,51,-0.5958,0.234,48
EPQ-R,Have you often felt listless and tired for no reason?,64,-0.6073,0.247,49
EPQ-R,Are you a worrier?,37,-0.6154,0.254,48
BIS_BAS Scales,I crave excitement and new sensations.,19,-0.616,1.141,49
HEXACO,I worry a lot less than most people do.,34,-0.6183,1.267,49
Psychological Well-Being Scales,I sometimes feel as if I've done all there is to do in life.,40,-0.621,2.237,50
EPQ-R,Do you give money to charities?,8,-0.6224,0.25,49
EPQ-R,Do you worry too long after an embarrassing experience?,79,-0.623,0.255,48
BIS_BAS Scales,I feel pretty worried or upset when I think or know somebody is angry at me.,12,-0.6231,1.086,49
Balanced Inventory of Desirable Responding Version 6,"I always obey laws, even if I’m unlikely to get caught.",25,-0.6253,2.116,49
BIS_BAS Scales,If I see a chance to get something I want I move on it right away.,11,-0.6267,0.748,49
DERS (Difficulties in Emotion Regulation Scale),"When I’m upset, I feel like I can remain in control of my behaviours",23,-0.6285,0.582,49
Five Facet Mindfullness Questionnaire (FFMQ),"In difficult situations, I can pause without immediately reacting.",20,-0.629,0.368,49
EPQ-R,Are you sometimes bubbling over with energy and sometimes very sluggish?,91,-0.6291,0.246,47
BIS_BAS Scales,I will often do things for no other reason than that they might be fun.,9,-0.6319,0.957,49
Psychological Well-Being Scales,I often feel lonely because I have few close friends with whom to share my concerns.,15,-0.6337,2.043,48
BIS_BAS Scales,"When good things happen to me, it affects me strongly.",17,-0.6376,1.059,49
Psychological Well-Being Scales,I tend to worry about what other people think of me.,12,-0.6435,2.911,48
Adult Temperament Questionnaire,I usually remain calm without getting frustrated when things are not going smoothly.,57,-0.6508,1.388,50
BIS_BAS Scales,I feel worried when I think I have done poorly at something important.,18,-0.6942,1.062,50
BIS_BAS Scales,Criticism or scolding hurts me quite a bit.,7,-0.7016,1.092,50
BIS_BAS Scales,It's hard for me to find the time to do things such as get a haircut.,10,-0.7081,0.688,46
BIS_BAS Scales,I often act on the spur of the moment.,14,-0.7351,0.872,48
BIS_BAS Scales,"If I think something unpleasant is going to happen I usually get pretty ""worked up.""",15,-0.7621,1.102,48
BIS_BAS Scales,How I dress is important to me.,5,-0.8172,1.053,48
